customer_id,name,region,churned,tenure_months
C0001,Priya Brown,East,0,29
C0002,James Wilson,Central,0,19
C0003,Patricia Davis,West,0,6
C0004,Michael Brown,East,0,33
C0005,Arjun Shah,North,0,19
C0006,Robert Joshi,North,0,1
C0007,Sarah Johnson,North,0,5
C0008,James Williams,Central,0,27
C0009,William Davis,West,1,16
C0010,Thomas Nair,West,0,6
C0011,James Shah,North,1,13
C0012,William Shah,Central,0,35
C0013,Sarah Davis,Central,0,19
C0014,Joseph Joshi,South,0,12
C0015,David Smith,North,0,16
C0016,Sunita Garcia,North,0,10
C0017,Neha Singh,South,0,25
C0018,John Wilson,East,0,20
C0019,Michael Miller,East,1,31
C0020,Sunita Sharma,South,0,4
C0021,Linda Williams,West,0,23
C0022,Richard Brown,North,0,2
C0023,Susan Verma,South,1,22
C0024,Nancy Wilson,East,0,8
C0025,Vikram Johnson,East,0,7
C0026,Rahul Kumar,West,0,14
C0027,Lisa Brown,North,0,3
C0028,Aditya Patel,East,0,16
C0029,Robert Shah,East,1,19
C0030,Jennifer Nair,North,0,18
C0031,Meera Verma,West,0,16
C0032,Charles Miller,North,0,8
C0033,Neha Williams,North,0,33
C0034,Maria Davis,Central,0,12
C0035,Sunita Taylor,Central,0,11
C0036,Robert Davis,Central,0,5
C0037,Rohit Brown,South,0,27
C0038,Richard Wilson,North,0,12
C0039,Joseph Verma,West,0,17
C0040,Barbara Verma,East,0,6
C0041,Susan Miller,North,1,33
C0042,Arjun Wilson,East,0,5
C0043,Neha Williams,North,0,28
C0044,Nancy Garcia,Central,1,14
C0045,Lisa Davis,South,0,5
C0046,Barbara Kumar,West,1,33
C0047,Richard Wilson,South,0,19
C0048,Aditya Shah,East,1,22
C0049,Patricia Sharma,East,0,5
C0050,Ananya Johnson,North,0,2
C0051,Patricia Johnson,Central,0,30
C0052,Vikram Sharma,West,1,4
C0053,Richard Wilson,Central,1,33
C0054,Robert Miller,Central,0,13
C0055,Aditya Joshi,East,0,20
C0056,Meera Sharma,Central,1,7
C0057,William Gupta,North,0,15
C0058,Richard Kumar,North,1,23
C0059,Michael Wilson,North,1,14
C0060,Michael Davis,South,0,23
C0061,Rahul Shah,East,0,19
C0062,Lisa Wilson,South,0,29
C0063,Rahul Joshi,Central,0,20
C0064,Sarah Joshi,East,1,29
C0065,Richard Verma,South,0,24
C0066,Patricia Jones,East,1,18
C0067,Thomas Gupta,North,0,10
C0068,Robert Johnson,Central,1,8
C0069,Rohit Brown,North,0,26
C0070,Michael Garcia,Central,0,29
C0071,Vikram Singh,West,0,10
C0072,Nancy Williams,North,0,17
C0073,Richard Patel,North,0,2
C0074,Nancy Kumar,Central,1,6
C0075,Thomas Wilson,West,0,5
C0076,Lisa Smith,West,0,28
C0077,Arjun Brown,West,0,5
C0078,Arjun Shah,North,0,18
C0079,Sunita Wilson,East,0,26
C0080,Sunita Sharma,North,1,20
C0081,Linda Taylor,Central,1,27
C0082,Sarah Garcia,West,1,12
C0083,Joseph Smith,South,1,7
C0084,Rahul Wilson,North,0,3
C0085,Thomas Garcia,South,0,10
C0086,Thomas Brown,South,0,34
C0087,Rohit Taylor,West,1,25
C0088,Ananya Mehta,West,0,35
C0089,Nancy Miller,Central,0,16
C0090,Michael Verma,East,0,2
C0091,Sunita Garcia,North,0,24
C0092,Lisa Mehta,West,1,10
C0093,Aditya Smith,West,1,22
C0094,Nancy Sharma,East,0,26
C0095,Karen Smith,West,1,27
C0096,Linda Verma,East,0,29
C0097,Meera Taylor,East,0,20
C0098,Patricia Johnson,East,0,27
C0099,Patricia Joshi,North,0,20
C0100,Robert Williams,North,0,19
C0101,Rahul Gupta,North,1,20
C0102,Ananya Williams,West,0,35
C0103,Sunita Shah,South,1,2
C0104,Sunita Jones,East,0,30
C0105,Michael Gupta,Central,0,34
C0106,Lisa Garcia,South,0,22
C0107,David Mehta,East,0,3
C0108,Rohit Nair,West,0,6
C0109,Sarah Miller,South,1,15
C0110,Aditya Shah,North,0,27
C0111,Sunita Miller,South,0,10
C0112,Neha Taylor,North,0,9
C0113,Richard Verma,Central,0,33
C0114,Joseph Mehta,Central,0,32
C0115,Joseph Brown,West,0,6
C0116,Patricia Davis,Central,0,2
C0117,Robert Sharma,Central,0,29
C0118,James Joshi,North,0,4
C0119,Lisa Davis,Central,0,1
C0120,Charles Davis,East,0,19
C0121,James Williams,Central,0,26
C0122,Neha Johnson,Central,1,25
C0123,Patricia Williams,South,0,10
C0124,Meera Johnson,North,0,15
C0125,Rohit Sharma,South,0,22
C0126,Robert Mehta,East,1,21
C0127,Patricia Wilson,Central,0,22
C0128,Arjun Gupta,Central,0,34
C0129,William Shah,North,1,30
C0130,Michael Joshi,East,0,25
C0131,Charles Gupta,East,0,28
C0132,Patricia Gupta,South,0,1
C0133,Vikram Singh,North,0,4
C0134,William Brown,South,1,7
C0135,Linda Singh,Central,0,9
C0136,Susan Singh,South,0,19
C0137,Sarah Kumar,East,0,1
C0138,Rohit Johnson,West,0,10
C0139,Arjun Brown,East,0,9
C0140,Maria Patel,Central,1,32
C0141,Rahul Sharma,Central,0,32
C0142,Vikram Brown,South,0,6
C0143,Patricia Miller,East,0,17
C0144,William Shah,South,0,10
C0145,Joseph Jones,South,0,27
C0146,Sarah Garcia,North,0,35
C0147,David Kumar,West,1,21
C0148,Patricia Williams,East,0,25
C0149,Joseph Shah,North,0,28
C0150,Linda Johnson,South,0,15
C0151,Priya Shah,Central,0,4
C0152,Ananya Smith,South,1,29
C0153,Robert Davis,North,0,9
